Date,Site,Department,RiskScore,IncidentFlag,Temperature,Humidity,EquipmentAge
04-01-2024 07:00,Site C,Safety,34,0,33.7,32.4,9
04-01-2024 09:00,Site D,Logistics,14,0,19.2,31.1,3
04-01-2024 10:00,Site C,Logistics,65,0,36.8,57.3,6
04-01-2024 10:00,Site A,Logistics,0,0,29.5,34.7,5
04-01-2024 11:00,Site A,Safety,62,0,32.9,66,4
04-01-2024 12:00,Site D,Logistics,70,0,33.9,38.1,6
04-01-2024 12:00,Site A,Logistics,54,0,20,68.5,4
04-01-2024 12:00,Site C,Logistics,39,0,39,65.5,1
04-01-2024 13:00,Site C,Logistics,93,0,31.2,53.7,3
04-01-2024 14:00,Site A,Logistics,87,0,35.7,56.1,9
04-01-2024 15:00,Site B,Safety,40,0,27.7,81.9,7
04-01-2024 15:00,Site C,Manufacturing,79,0,30.7,55.5,9
04-01-2024 18:00,Site B,Safety,39,0,18.6,57.6,5
04-01-2024 20:00,Site A,Logistics,62,0,17.3,68.9,6
04-01-2024 20:00,Site D,Logistics,54,0,19.6,36.7,7
04-01-2024 21:00,Site A,Logistics,38,0,31.1,89.1,5
04-01-2024 21:00,Site A,Manufacturing,40,0,18.4,82.8,5
04-01-2024 22:00,Site A,Safety,88,0,24.6,47.4,5
05-01-2024 02:00,Site C,Manufacturing,3,0,37.5,86.4,5
05-01-2024 02:00,Site C,Logistics,24,0,27.8,49.2,6
05-01-2024 03:00,Site B,Logistics,91,0,31.1,50.5,6
05-01-2024 12:00,Site C,Logistics,77,0,30.8,62.4,10
05-01-2024 13:00,Site C,Safety,87,1,20.1,60.4,3
05-01-2024 13:00,Site B,Manufacturing,99,0,38.5,50.6,9
05-01-2024 18:00,Site C,Safety,31,0,33.9,54.7,7
05-01-2024 19:00,Site D,Safety,95,1,26.1,40.9,3
05-01-2024 21:00,Site A,Manufacturing,33,0,19,69.1,3
06-01-2024 00:00,Site D,Logistics,18,0,18.2,82.3,3
06-01-2024 01:00,Site C,Logistics,74,0,33.8,46.4,9
06-01-2024 01:00,Site B,Logistics,6,0,24.8,40.3,9
06-01-2024 02:00,Site A,Manufacturing,45,0,30.8,86.8,7
06-01-2024 08:00,Site D,Safety,58,0,34.9,36.8,9
06-01-2024 10:00,Site B,Manufacturing,27,0,25.4,72,2
06-01-2024 12:00,Site A,Manufacturing,43,0,16.3,70.4,8
06-01-2024 13:00,Site C,Logistics,55,0,27.1,43.6,4
06-01-2024 13:00,Site A,Logistics,74,0,20.6,37.4,8
06-01-2024 14:00,Site B,Safety,39,0,27.4,31.6,2
06-01-2024 15:00,Site C,Logistics,57,1,30.5,51.8,3
06-01-2024 16:00,Site D,Logistics,39,0,19.1,38.6,9
06-01-2024 17:00,Site A,Manufacturing,31,0,34.5,67.4,1
06-01-2024 18:00,Site A,Manufacturing,39,0,30.3,64.5,10
06-01-2024 23:00,Site A,Manufacturing,59,0,32.8,39.7,4
06-01-2024 23:00,Site D,Manufacturing,92,0,27.5,81.5,7
07-01-2024 02:00,Site D,Manufacturing,51,0,23.7,48.5,5
07-01-2024 03:00,Site D,Manufacturing,62,0,23.6,80.3,3
07-01-2024 05:00,Site D,Manufacturing,12,0,35.5,47,6
07-01-2024 08:00,Site C,Logistics,59,0,31.6,72.3,10
07-01-2024 15:00,Site B,Manufacturing,83,0,24.2,78.9,1
07-01-2024 18:00,Site D,Logistics,15,0,34.2,53.6,8
07-01-2024 22:00,Site C,Safety,93,0,33.3,88.4,10
08-01-2024 01:00,Site C,Manufacturing,83,0,16.6,62.1,5
08-01-2024 01:00,Site A,Safety,35,0,17.2,41.3,7
08-01-2024 09:00,Site D,Safety,43,0,18,52.2,7
08-01-2024 11:00,Site A,Safety,57,0,21.6,44.2,5
08-01-2024 11:00,Site B,Logistics,25,0,20.3,31.4,1
08-01-2024 12:00,Site B,Manufacturing,75,0,26.9,43.4,2
08-01-2024 12:00,Site C,Manufacturing,85,0,24.8,60.5,7
08-01-2024 12:00,Site D,Safety,32,0,35.4,75.3,9
08-01-2024 13:00,Site A,Safety,61,0,35,83,10
08-01-2024 13:00,Site B,Safety,28,0,29.1,82.4,7
08-01-2024 14:00,Site B,Safety,74,0,22.2,72.5,7
08-01-2024 14:00,Site B,Logistics,47,0,31.9,73.5,7
08-01-2024 16:00,Site D,Manufacturing,5,0,20,30.8,10
09-01-2024 00:00,Site D,Logistics,80,0,25.3,64.3,10
09-01-2024 00:00,Site A,Manufacturing,3,1,33.2,36.4,1
09-01-2024 01:00,Site D,Safety,62,0,19.6,37.3,2
09-01-2024 04:00,Site D,Manufacturing,76,0,36.2,56.9,3
09-01-2024 04:00,Site D,Manufacturing,75,1,20.4,50.5,6
09-01-2024 05:00,Site C,Safety,17,0,31.9,44.6,5
09-01-2024 05:00,Site C,Logistics,72,0,29.1,62.6,6
09-01-2024 08:00,Site D,Manufacturing,71,0,28.5,81.3,1
09-01-2024 13:00,Site A,Logistics,85,1,19.7,44,1
09-01-2024 13:00,Site C,Manufacturing,7,0,21.6,78.2,3
09-01-2024 14:00,Site A,Safety,34,0,22.5,77.9,4
09-01-2024 15:00,Site D,Manufacturing,94,0,35.9,72.7,7
09-01-2024 17:00,Site A,Safety,1,0,15.9,59.1,9
09-01-2024 20:00,Site B,Logistics,95,0,34.7,40,10
10-01-2024 01:00,Site C,Manufacturing,94,0,24.9,44.4,2
10-01-2024 03:00,Site C,Manufacturing,73,1,21.9,42.8,9
10-01-2024 06:00,Site D,Logistics,70,0,26.9,68.3,2
10-01-2024 12:00,Site D,Safety,47,0,23.4,71.2,8
10-01-2024 13:00,Site C,Manufacturing,91,0,24.5,84.2,10
10-01-2024 18:00,Site B,Logistics,91,0,23.8,52.8,2
10-01-2024 19:00,Site B,Logistics,7,0,23.5,54.4,2
11-01-2024 00:00,Site A,Logistics,98,0,24.1,52.1,9
11-01-2024 01:00,Site C,Logistics,42,0,24.8,70.1,10
11-01-2024 01:00,Site A,Logistics,59,0,39.5,49.4,2
11-01-2024 02:00,Site D,Safety,60,0,37.6,80.2,2
11-01-2024 03:00,Site D,Logistics,85,0,15.4,44.6,7
11-01-2024 04:00,Site A,Manufacturing,87,0,17.5,74.5,1
11-01-2024 06:00,Site D,Safety,88,0,16.4,66.2,5
11-01-2024 08:00,Site B,Safety,80,0,35.3,63.8,2
11-01-2024 14:00,Site A,Safety,77,0,38.6,56.8,7
11-01-2024 15:00,Site A,Safety,5,0,27.4,36.4,2
11-01-2024 16:00,Site D,Safety,96,0,20.7,78.1,8
11-01-2024 16:00,Site A,Logistics,10,0,20.2,60,4
11-01-2024 16:00,Site A,Manufacturing,97,1,32.3,53.6,4
11-01-2024 21:00,Site A,Safety,51,0,30.2,82.8,9
11-01-2024 22:00,Site A,Manufacturing,19,0,25.7,37,5
12-01-2024 00:00,Site D,Manufacturing,47,1,32.5,60.1,2
12-01-2024 03:00,Site B,Safety,47,1,35.9,83.3,3
12-01-2024 07:00,Site D,Safety,3,0,16.7,43.1,4
12-01-2024 07:00,Site D,Safety,70,0,25.3,42.3,7
12-01-2024 09:00,Site B,Safety,58,0,16.4,36,4
12-01-2024 09:00,Site C,Logistics,55,0,35.3,44.2,10
12-01-2024 14:00,Site A,Logistics,70,0,20.8,79.1,2
12-01-2024 14:00,Site A,Logistics,97,0,17.4,86.9,1
12-01-2024 16:00,Site D,Manufacturing,47,0,30.4,64.1,1
12-01-2024 21:00,Site A,Logistics,27,0,30.6,80.8,9
12-01-2024 23:00,Site A,Manufacturing,37,0,30.9,35.9,4
12-01-2024 23:00,Site B,Manufacturing,74,0,31.7,75.3,5
13-01-2024 01:00,Site C,Logistics,25,1,29.1,87.4,6
13-01-2024 03:00,Site B,Logistics,57,0,19,34.8,7
13-01-2024 06:00,Site C,Safety,22,0,25.9,34.1,3
13-01-2024 07:00,Site D,Safety,86,0,20.9,80.7,9
13-01-2024 17:00,Site C,Logistics,50,0,35.4,40.4,10
13-01-2024 23:00,Site A,Manufacturing,89,0,18.3,62.8,2
14-01-2024 05:00,Site B,Safety,3,0,24,46.3,4
14-01-2024 07:00,Site A,Safety,84,1,35.5,86.2,5
14-01-2024 08:00,Site C,Manufacturing,14,0,36.4,69.5,7
14-01-2024 10:00,Site D,Manufacturing,88,0,33.7,61.5,7
14-01-2024 12:00,Site B,Manufacturing,11,1,34.5,66.7,8
14-01-2024 13:00,Site D,Safety,39,0,21,35,2
14-01-2024 14:00,Site C,Safety,21,0,16,34.4,6
14-01-2024 21:00,Site D,Manufacturing,82,0,22.1,35.9,9
14-01-2024 22:00,Site A,Safety,85,0,38.9,62.5,3
14-01-2024 23:00,Site C,Safety,15,1,19.8,40.7,6
15-01-2024 00:00,Site A,Safety,24,1,30.8,87.5,6
15-01-2024 01:00,Site A,Safety,25,1,37.3,89.2,7
15-01-2024 01:00,Site C,Safety,83,1,34.5,88.7,2
15-01-2024 03:00,Site D,Logistics,75,0,18.1,81.6,1
15-01-2024 03:00,Site D,Safety,58,0,32.5,86.2,7
15-01-2024 03:00,Site D,Safety,41,0,39.2,86.4,1
15-01-2024 04:00,Site A,Safety,78,1,33.5,41.6,7
15-01-2024 06:00,Site A,Safety,84,0,18.5,63.4,1
15-01-2024 07:00,Site C,Logistics,57,0,39.3,87,2
15-01-2024 07:00,Site D,Logistics,89,1,19,67.8,5
15-01-2024 08:00,Site B,Manufacturing,96,0,34,78.3,3
15-01-2024 08:00,Site B,Logistics,11,0,32.2,77.8,7
15-01-2024 08:00,Site D,Logistics,5,0,25.5,70.1,5
15-01-2024 10:00,Site C,Logistics,22,0,20.4,56.3,9
15-01-2024 16:00,Site D,Logistics,19,1,23.7,32.9,10
15-01-2024 17:00,Site A,Manufacturing,23,0,27.3,36.6,9
15-01-2024 17:00,Site C,Safety,18,0,19.2,42.4,3
15-01-2024 18:00,Site D,Manufacturing,72,0,35.8,56,6
15-01-2024 19:00,Site C,Logistics,37,0,33.1,45.4,6
15-01-2024 21:00,Site A,Safety,14,1,21,63,1
15-01-2024 23:00,Site D,Logistics,27,1,34.5,43.7,2
16-01-2024 02:00,Site C,Safety,73,0,25.2,84,1
16-01-2024 02:00,Site D,Logistics,92,0,38,75.3,1
16-01-2024 02:00,Site A,Manufacturing,51,0,32.3,62.9,1
16-01-2024 02:00,Site C,Safety,87,0,20.8,74,3
16-01-2024 05:00,Site B,Safety,94,0,32.4,65,2
16-01-2024 07:00,Site D,Manufacturing,4,0,29.9,65.1,8
16-01-2024 09:00,Site A,Logistics,15,0,27.6,36.2,4
16-01-2024 09:00,Site C,Manufacturing,7,0,37.8,37.3,7
16-01-2024 10:00,Site A,Logistics,80,0,15.9,71.4,3
16-01-2024 13:00,Site C,Safety,85,0,31.1,73.5,8
16-01-2024 14:00,Site C,Logistics,37,0,32,85.4,7
16-01-2024 17:00,Site B,Safety,34,0,24.7,77.2,1
16-01-2024 18:00,Site A,Logistics,67,0,24.2,31.8,3
16-01-2024 19:00,Site C,Logistics,30,0,32,57.2,5
16-01-2024 21:00,Site B,Logistics,44,0,25,67.2,9
16-01-2024 23:00,Site A,Logistics,32,1,17.1,54.9,2
16-01-2024 23:00,Site B,Logistics,63,0,37.4,57.5,6
17-01-2024 04:00,Site C,Safety,13,0,22.4,86.4,2
17-01-2024 07:00,Site B,Safety,7,0,19.6,63.7,5
17-01-2024 16:00,Site D,Logistics,42,0,23.6,55.6,4
17-01-2024 17:00,Site B,Safety,60,0,20.9,84.3,2
17-01-2024 18:00,Site D,Logistics,84,0,23.6,49.7,4
18-01-2024 00:00,Site D,Manufacturing,44,0,36.9,58,3
18-01-2024 01:00,Site C,Logistics,78,1,21.3,50.6,1
18-01-2024 01:00,Site C,Logistics,71,0,38.9,89,8
18-01-2024 01:00,Site D,Logistics,20,0,23.3,69,1
18-01-2024 06:00,Site A,Logistics,96,0,31.5,55.3,3
18-01-2024 08:00,Site A,Safety,6,0,17.8,45.4,6
18-01-2024 10:00,Site C,Manufacturing,23,0,31.6,55.7,3
18-01-2024 10:00,Site C,Safety,61,0,34.6,55.8,3
18-01-2024 14:00,Site C,Manufacturing,59,0,17.7,62.3,3
18-01-2024 14:00,Site C,Safety,91,0,23.3,51.9,7
18-01-2024 14:00,Site B,Logistics,85,1,35.1,33.5,10
18-01-2024 21:00,Site D,Safety,82,0,18.3,65.2,2
18-01-2024 21:00,Site C,Manufacturing,66,0,26.8,89.5,1
19-01-2024 01:00,Site D,Logistics,86,0,24.7,34.7,4
19-01-2024 02:00,Site A,Manufacturing,70,0,16.3,75.1,4
19-01-2024 02:00,Site A,Logistics,51,0,27.9,54.7,3
19-01-2024 03:00,Site A,Logistics,52,0,33.6,69.1,8
19-01-2024 03:00,Site B,Safety,54,0,18.2,30.6,4
19-01-2024 04:00,Site B,Logistics,86,1,36.6,78.5,10
19-01-2024 05:00,Site B,Manufacturing,55,0,28.6,72.8,2
19-01-2024 06:00,Site D,Manufacturing,86,0,20.5,81,1
19-01-2024 09:00,Site B,Manufacturing,78,0,17.3,72.8,5
19-01-2024 09:00,Site C,Logistics,48,0,34.7,56.6,9
19-01-2024 11:00,Site C,Safety,77,0,31.9,63.2,6
19-01-2024 13:00,Site D,Manufacturing,6,0,20,39.9,4
19-01-2024 14:00,Site A,Manufacturing,93,0,28.1,47.9,5
19-01-2024 17:00,Site B,Logistics,35,1,27.1,35.9,3
19-01-2024 17:00,Site A,Logistics,34,0,30.7,54.6,6
19-01-2024 18:00,Site A,Logistics,99,0,16.3,70.1,2
19-01-2024 19:00,Site C,Manufacturing,76,0,17.1,54.5,5
19-01-2024 20:00,Site B,Logistics,81,0,37.1,80.3,1
19-01-2024 21:00,Site D,Manufacturing,36,0,35.1,47.2,3
19-01-2024 21:00,Site C,Logistics,68,0,17,52.4,2
19-01-2024 22:00,Site C,Safety,65,0,29,89.2,3
20-01-2024 01:00,Site D,Safety,49,1,28.5,33.2,4
20-01-2024 02:00,Site A,Logistics,8,0,35.4,50.2,7
20-01-2024 02:00,Site B,Safety,46,0,22.5,59.2,3
20-01-2024 03:00,Site C,Logistics,86,0,37.6,34.8,3
20-01-2024 03:00,Site B,Manufacturing,100,0,34.1,31.9,1
20-01-2024 04:00,Site D,Manufacturing,94,0,16.4,86.8,2
20-01-2024 05:00,Site B,Logistics,27,0,37.6,77.8,10
20-01-2024 05:00,Site A,Logistics,21,0,16.7,85.5,5
20-01-2024 06:00,Site C,Manufacturing,3,0,28,67.3,10
20-01-2024 07:00,Site C,Manufacturing,10,0,26.6,64.1,8
20-01-2024 09:00,Site D,Safety,100,0,31.3,32,7
20-01-2024 10:00,Site D,Safety,49,0,26.8,40.2,9
20-01-2024 14:00,Site C,Logistics,92,0,25.5,65.4,4
20-01-2024 15:00,Site A,Manufacturing,94,0,29,41.3,9
20-01-2024 15:00,Site B,Manufacturing,53,0,20.9,35,4
20-01-2024 15:00,Site C,Safety,51,0,34.9,37.8,2
20-01-2024 17:00,Site A,Logistics,33,0,33.5,66.6,6
20-01-2024 21:00,Site C,Safety,40,0,37.6,42.1,5
20-01-2024 22:00,Site D,Manufacturing,91,0,21.4,31.2,4
20-01-2024 22:00,Site A,Safety,90,0,18.9,86.1,7
21-01-2024 00:00,Site D,Manufacturing,9,0,38.4,89.7,10
21-01-2024 01:00,Site C,Logistics,51,0,29.9,50.5,6
21-01-2024 02:00,Site A,Logistics,16,0,16.6,46.7,8
21-01-2024 03:00,Site D,Safety,20,0,35.2,72.3,10
21-01-2024 07:00,Site D,Manufacturing,63,0,25.5,37.3,8
21-01-2024 08:00,Site C,Manufacturing,16,0,40,43.9,9
21-01-2024 08:00,Site A,Manufacturing,17,0,25.2,70.3,7
21-01-2024 09:00,Site D,Logistics,35,1,34.7,63.8,3
21-01-2024 09:00,Site D,Logistics,41,0,33.7,73.7,10
21-01-2024 11:00,Site A,Manufacturing,33,0,26.4,48,3
21-01-2024 13:00,Site B,Manufacturing,1,1,31.4,64,9
21-01-2024 17:00,Site B,Manufacturing,63,0,27.6,57.2,4
21-01-2024 22:00,Site A,Logistics,45,0,23.2,74.5,4
21-01-2024 22:00,Site B,Safety,91,0,23.1,87.5,5
21-01-2024 22:00,Site A,Logistics,67,0,31.7,58.4,7
21-01-2024 22:00,Site B,Safety,31,1,32.4,82.6,1
22-01-2024 00:00,Site D,Logistics,14,0,28.5,59.8,8
22-01-2024 01:00,Site B,Logistics,51,0,28.6,68.9,6
22-01-2024 02:00,Site A,Safety,69,0,23.3,50.2,5
22-01-2024 07:00,Site B,Safety,62,0,16.4,78.2,1
22-01-2024 08:00,Site D,Logistics,58,1,37.5,73.8,10
22-01-2024 10:00,Site D,Safety,50,0,17,62.6,9
22-01-2024 15:00,Site B,Manufacturing,86,0,16.7,66.9,10
22-01-2024 17:00,Site D,Safety,6,0,35.8,78.8,6
22-01-2024 18:00,Site D,Logistics,31,0,18.9,56.7,5
22-01-2024 23:00,Site B,Safety,72,0,29.8,55.1,5
23-01-2024 00:00,Site D,Safety,14,0,17,70.9,6
23-01-2024 01:00,Site D,Safety,94,0,23.3,76.9,7
23-01-2024 06:00,Site C,Safety,87,0,32.8,33.1,4
23-01-2024 07:00,Site D,Manufacturing,37,0,25.6,73.9,4
23-01-2024 09:00,Site C,Logistics,24,0,31.9,53.6,3
23-01-2024 10:00,Site D,Manufacturing,23,0,26.6,37.8,9
23-01-2024 10:00,Site D,Manufacturing,93,0,39.7,46,10
23-01-2024 13:00,Site A,Logistics,71,0,38.6,78.5,9
23-01-2024 14:00,Site D,Logistics,4,1,31.6,61.5,5
23-01-2024 14:00,Site C,Safety,2,1,35.9,35.8,2
23-01-2024 15:00,Site A,Manufacturing,13,0,32.9,39,8
23-01-2024 18:00,Site B,Safety,38,0,18.9,40.2,6
23-01-2024 19:00,Site B,Safety,62,1,37.8,86.7,3
23-01-2024 20:00,Site A,Manufacturing,61,1,18.9,41.7,7
24-01-2024 01:00,Site B,Logistics,11,0,37.7,58.7,10
24-01-2024 01:00,Site A,Safety,62,0,24.4,77.2,2
24-01-2024 04:00,Site C,Manufacturing,99,0,20.9,38.2,4
24-01-2024 05:00,Site D,Safety,6,0,35.9,49.9,10
24-01-2024 10:00,Site C,Safety,85,0,39.2,49.8,1
24-01-2024 14:00,Site B,Safety,11,0,36.1,86.1,6
24-01-2024 16:00,Site A,Safety,48,0,21.1,85.1,8
24-01-2024 16:00,Site B,Manufacturing,14,0,30.1,68.6,6
24-01-2024 18:00,Site A,Logistics,11,0,39.9,40.3,9
24-01-2024 22:00,Site D,Safety,38,0,39.6,58.6,10
24-01-2024 23:00,Site D,Logistics,24,0,34.6,85.6,3
25-01-2024 01:00,Site C,Safety,4,0,35.4,40.8,7
25-01-2024 02:00,Site D,Logistics,20,0,39.3,86.2,3
25-01-2024 02:00,Site A,Safety,63,0,32.8,49.3,9
25-01-2024 04:00,Site A,Logistics,39,1,23.4,49.4,8
25-01-2024 06:00,Site D,Manufacturing,33,0,38.8,75.3,1
25-01-2024 06:00,Site D,Safety,47,0,27.2,44.5,3
25-01-2024 11:00,Site A,Manufacturing,33,0,23.7,87.6,5
25-01-2024 14:00,Site B,Manufacturing,25,0,36.2,60.7,3
25-01-2024 15:00,Site B,Logistics,78,0,33.9,60.6,9
25-01-2024 15:00,Site A,Logistics,23,0,21,59.9,5
25-01-2024 15:00,Site C,Logistics,96,1,24.1,71.3,3
25-01-2024 18:00,Site D,Safety,25,1,16.3,30.1,7
25-01-2024 20:00,Site C,Manufacturing,79,1,15.9,85.9,6
25-01-2024 22:00,Site D,Safety,81,0,32.7,50.7,2
25-01-2024 23:00,Site A,Logistics,7,1,20.3,54.5,2
25-01-2024 23:00,Site B,Safety,77,0,39.4,69.1,4
25-01-2024 23:00,Site D,Logistics,58,0,25.3,44.4,6
26-01-2024 00:00,Site B,Safety,74,0,21,84.3,4
26-01-2024 04:00,Site C,Logistics,64,1,33,77.2,9
26-01-2024 04:00,Site B,Manufacturing,38,0,25.4,57.4,6
26-01-2024 07:00,Site B,Logistics,19,0,36.3,46.6,3
26-01-2024 08:00,Site D,Logistics,19,0,25,49.1,2
26-01-2024 10:00,Site A,Logistics,40,0,38.3,60,4
26-01-2024 10:00,Site B,Logistics,56,0,15.6,71.5,9
26-01-2024 11:00,Site C,Safety,100,0,22.2,35.9,8
26-01-2024 16:00,Site D,Manufacturing,34,0,23.6,34.7,2
26-01-2024 17:00,Site C,Safety,63,0,31.9,69.3,1
26-01-2024 18:00,Site D,Manufacturing,100,0,19.1,56.7,7
26-01-2024 21:00,Site D,Logistics,24,0,26.7,45,1
27-01-2024 00:00,Site B,Logistics,11,0,25.5,64.2,5
27-01-2024 01:00,Site C,Logistics,40,0,38.7,42.4,10
27-01-2024 01:00,Site C,Safety,62,0,29.6,51.9,2
27-01-2024 02:00,Site B,Logistics,5,0,29.5,61,5
27-01-2024 06:00,Site B,Manufacturing,34,0,28.5,35.9,6
27-01-2024 08:00,Site D,Logistics,58,0,19.5,73.1,2
27-01-2024 11:00,Site A,Logistics,48,0,29.8,41,1
27-01-2024 20:00,Site B,Manufacturing,35,1,22,86.1,10
27-01-2024 21:00,Site D,Logistics,37,0,34.3,77.5,7
27-01-2024 23:00,Site B,Manufacturing,94,0,19.6,39.3,1
28-01-2024 03:00,Site C,Logistics,24,0,31.5,72.4,3
28-01-2024 11:00,Site C,Manufacturing,73,0,20.9,61.4,5
28-01-2024 12:00,Site B,Safety,42,0,33.3,56.5,9
28-01-2024 12:00,Site A,Logistics,81,0,17.2,66.9,8
28-01-2024 14:00,Site B,Safety,67,0,32.3,37.4,9
28-01-2024 17:00,Site D,Safety,98,0,25.6,38.1,6
28-01-2024 21:00,Site A,Logistics,36,0,30.2,85.1,10
28-01-2024 22:00,Site B,Safety,74,0,15.7,86.8,3
28-01-2024 22:00,Site B,Safety,18,0,30.2,49.6,7
28-01-2024 23:00,Site D,Manufacturing,53,1,33.5,49.2,6
29-01-2024 01:00,Site B,Manufacturing,96,0,27.6,31.8,8
29-01-2024 01:00,Site B,Manufacturing,38,0,20.6,65.7,1
29-01-2024 02:00,Site A,Logistics,43,0,22.4,84.5,3
29-01-2024 05:00,Site D,Safety,42,0,39.8,50.5,7
29-01-2024 05:00,Site C,Manufacturing,17,0,33.8,59.7,3
29-01-2024 06:00,Site C,Logistics,63,0,29.2,33.2,4
29-01-2024 08:00,Site D,Logistics,99,1,27.1,39.8,6
29-01-2024 08:00,Site C,Safety,21,0,34.8,31.3,9
29-01-2024 11:00,Site B,Manufacturing,63,0,35.9,37.1,6
29-01-2024 16:00,Site B,Manufacturing,53,0,31.2,59.4,7
29-01-2024 20:00,Site B,Logistics,29,0,31.9,31.5,4
29-01-2024 23:00,Site A,Safety,13,0,25.9,65.8,9
30-01-2024 11:00,Site D,Logistics,6,0,18.4,74.5,8
30-01-2024 16:00,Site B,Safety,92,0,36.3,38.2,4
30-01-2024 17:00,Site B,Logistics,87,0,32.1,52,2
30-01-2024 20:00,Site C,Manufacturing,51,0,37.4,51.6,2
30-01-2024 20:00,Site D,Logistics,41,0,39.8,38.2,2
31-01-2024 01:00,Site D,Safety,23,0,23.4,56.1,2
31-01-2024 01:00,Site B,Safety,82,1,29.4,79.4,5
31-01-2024 02:00,Site A,Logistics,5,0,19.6,84.5,5
31-01-2024 03:00,Site D,Manufacturing,97,0,31,62.8,9
31-01-2024 07:00,Site B,Safety,5,0,19.2,65.2,6
31-01-2024 07:00,Site D,Manufacturing,36,0,19.9,45.6,4
31-01-2024 11:00,Site A,Manufacturing,2,0,24.8,83.1,8
31-01-2024 11:00,Site B,Logistics,42,0,17.6,30.5,1
31-01-2024 11:00,Site C,Manufacturing,45,0,38.5,73.9,5
31-01-2024 12:00,Site A,Manufacturing,40,0,32.8,83.6,5
31-01-2024 12:00,Site A,Manufacturing,25,0,29.9,68.6,5
31-01-2024 12:00,Site C,Logistics,98,0,30.9,40.1,8
31-01-2024 13:00,Site B,Safety,72,1,28,68.1,1
31-01-2024 16:00,Site A,Logistics,60,0,19.6,34.4,6
31-01-2024 17:00,Site B,Manufacturing,78,0,26.7,54.9,2
31-01-2024 19:00,Site C,Logistics,36,0,35.9,66.3,4
31-01-2024 19:00,Site C,Safety,74,1,28.7,30.5,10
31-01-2024 21:00,Site C,Manufacturing,13,0,37.6,80.3,10
31-01-2024 22:00,Site D,Safety,45,0,31.9,89.7,10
31-01-2024 23:00,Site C,Safety,47,0,18.6,36.4,5
31-01-2024 23:00,Site B,Manufacturing,11,0,18.1,84.4,7
31-01-2024 23:00,Site A,Logistics,46,0,15.3,89.5,9
01-02-2024 01:00,Site C,Manufacturing,50,0,38.5,47.8,3
01-02-2024 03:00,Site A,Manufacturing,65,0,23.4,59.1,4
01-02-2024 04:00,Site D,Logistics,69,0,22.2,44.6,8
01-02-2024 05:00,Site B,Logistics,35,0,18.6,83.1,2
01-02-2024 05:00,Site B,Safety,26,1,38.5,43.6,4
01-02-2024 05:00,Site B,Safety,97,0,39.7,63,4
01-02-2024 06:00,Site D,Safety,88,0,27.4,53.9,6
